tweet_id,username,name,profile_picture,replies,retweets,likes,is_retweet,posted_time,content,hashtags,mentions,images,videos,tweet_url,link
1522003119500058624,ShaSoSpoiled,Shacology,https://twitter.com/ShaSoSpoiled/photo,0,0,0,False,2022-05-04T23:59:55+00:00,My baby called me mommy Sha for the first time today twice!!! Y’all don’t understand how hype that made me. Baby girl has autism and getting her to talk without being prompted has been a challenge. She’s come so far ,[],[],[],[],https://twitter.com/ShaSoSpoiled/status/1522003119500058624,
1522002733435293696,Library_ben,Dr. Ben Mitchell,https://twitter.com/Library_ben/photo,0,0,0,False,2022-05-04T23:58:23+00:00,I did not know this. I am so excited. I've listened to the audio book of Unmasking Autism twice since it came out and felt very seen by it. It truly is a gift to the community.,[],[],[],[],https://twitter.com/Library_ben/status/1522002733435293696,
1522002689860812801,Orvo2036,Orvo,https://twitter.com/Orvo2036/photo,0,0,6,False,2022-05-04T23:58:13+00:00,Every single person who upvoted that post has autism,[],[],[],[],https://twitter.com/Orvo2036/status/1522002689860812801,
1522002518175268866,HealthThorough,HealthThoroughFare,https://twitter.com/HealthThorough/photo,0,0,0,False,2022-05-04T23:57:32+00:00,Autism Spectrum Disorder – Does it Start in the Embryonic Stage?,[],[],[],[],https://twitter.com/HealthThorough/status/1522002518175268866,https://t.co/jaPzCKgNnv
1522002436927352832,BotDoctors,TheDoctorsBot,https://twitter.com/BotDoctors/photo,0,0,0,False,2022-05-04T23:57:13+00:00,((Autism Debate with Jenny McCarthy on 'The Doctors)),[],[],[],[],https://twitter.com/BotDoctors/status/1522002436927352832,
1522002183683973120,JenOb7,Jen,https://twitter.com/JenOb7/photo,0,0,0,False,2022-05-04T23:56:12+00:00,"Just a reminder that the CDC did look into a link between one vax (MMR) and autism, and found a strong causative link, denied it for 4 years, then hid it from the public. #CDCWhistleblower #Vaxxed","['CDCWhistleblower', 'Vaxxed']",[],[],[],https://twitter.com/JenOb7/status/1522002183683973120,
1522002146367000577,INSOURCE2014,INSOURCE,https://twitter.com/INSOURCE2014/photo,0,0,0,False,2022-05-04T23:56:03+00:00,Multistage Autism Screening in Early Intervention Settings May Reduce Disparities https://buff.ly/3OUG2Eo,[],[],['https://pbs.twimg.com/media/FR884prWYAAiJQH?format=jpg&name=small'],[],https://twitter.com/INSOURCE2014/status/1522002146367000577,
1522002131112189952,TLWood_Writes,T.L. (Tabatha) Wood,https://twitter.com/TLWood_Writes/photo,1,0,13,False,2022-05-04T23:56:00+00:00,"That’s why, over the years I have been so vocal about issues such as: mental health, suicide, PTSD, autism and ADHD, family trauma, and body autonomy. As I say to my kids, “We do not make ourselves smaller just to make other people more comfortable.” 3/",[],[],[],[],https://twitter.com/TLWood_Writes/status/1522002131112189952,
1522002020693118976,moby24k,moby ☆,https://twitter.com/moby24k/photo,1,0,0,False,2022-05-04T23:55:33+00:00,get tested for autism,[],[],[],[],https://twitter.com/moby24k/status/1522002020693118976,
1522002015609569283,93_jays,JAYS 92/93,https://twitter.com/93_jays/photo,0,0,0,False,2022-05-04T23:55:32+00:00,"I will remember all your cuts to health,education,social services, autism, nurses, hide when Ottawa Convoy. We cannot afford 4 more years. Your hwys do nothing for me or much of the province but your dev buddies sure making $ ones you only work for",[],[],[],[],https://twitter.com/93_jays/status/1522002015609569283,
1522001974580891649,2ndchanceff,Second Chance Freedom Foundation,https://twitter.com/2ndchanceff/photo,0,0,0,False,2022-05-04T23:55:22+00:00,"A Conversation About Autism Acceptance & Racial Justice https://youtu.be/JCGXnNVhboo via 
@YouTube",[],['YouTube'],[],[],https://twitter.com/2ndchanceff/status/1522001974580891649,
1522001847430660097,DocMcCafferty,Dr. Shawna McCafferty (She/Hers),https://twitter.com/DocMcCafferty/photo,1,1,37,False,2022-05-04T23:54:52+00:00,"There is NO SUCH THING as “wait and see” for a child with a concerning screen for autism.

That child needs an immediate referral for an evaluation... Yesterday

#tweetiatrician",['tweetiatrician'],[],[],[],https://twitter.com/DocMcCafferty/status/1522001847430660097,
